Neighbourhood ID,Neighbourhood Name,Rate per 100,000 people,Case Count,Rate per 100,000 people (rounded)
79,University,3980.430056,659,3981
43,Victoria Village,4811.35796,366,4812
77,Waterfront Communities-The Island,7972.587093,1396,7973
136,West Hill,4204.02652,2771,4205
1,West Humber-Clairville,7370.765187,2019,7371
35,Westminster-Branson,12872.23823,4288,12873
113,Weston,10599.83253,2785,10600
91,Weston-Pellam Park,13133.61494,2363,13134
119,Wexford/Maryvale,8893.494323,987,8894
51,Willowdale East,7504.388007,2095,7505
37,Willowdale West,3009.874291,1518,3010
7,Willowridge-Martingrove-Richview,3536.844591,599,3537
137,Woburn,6959.740025,1542,6960
64,Woodbine Corridor,9056.744882,4844,9057
60,Woodbine-Lumsden,2990.19217,375,2991
94,Wychwood,4119.516847,324,4120
100,Yonge-Eglinton,4620.531047,663,4621
97,Yonge-St.Clair,2911.060337,344,2912
27,York University Heights,2793.742018,350,2794
31,Yorkdale-Glen Park,12572.02914,3469,12573
